report_id,entity_type,entity_value,analytical_relevance
TRN03002,ipv4,198.51.100.143,"Low – generic indicator, needs internal validation"
TRN03002,domain,node-3002-sync.example,"Low – generic indicator, needs internal validation"
TRN03002,threat_actor_or_malware,Kalahari Jackal,High – linked to current Kalahari Jackal / Sandstorm campaign
TRN03003,ipv4,198.51.100.144,"Low – generic indicator, needs internal validation"
TRN03003,domain,node-3003-sync.example,"Low – generic indicator, needs internal validation"
TRN03003,threat_actor_or_malware,Kalahari Jackal,High – linked to current Kalahari Jackal / Sandstorm campaign
TRN03003,threat_actor_or_malware,DustRAT,Medium – known actor or malware name
TRN03004,ipv4,198.51.100.145,"Low – generic indicator, needs internal validation"
TRN03004,domain,node-3004-sync.example,"Low – generic indicator, needs internal validation"
TRN03004,threat_actor_or_malware,BreakerFox,Medium – known actor or malware name
TRN03005,ipv4,198.51.100.146,"Low – generic indicator, needs internal validation"
TRN03005,domain,node-3005-sync.example,"Low – generic indicator, needs internal validation"
TRN03005,threat_actor_or_malware,GridLock,Medium – known actor or malware name
TRN03007,ipv4,198.51.100.148,"Low – generic indicator, needs internal validation"
TRN03007,domain,node-3007-sync.example,"Low – generic indicator, needs internal validation"
TRN03007,threat_actor_or_malware,Kalahari Jackal,High – linked to current Kalahari Jackal / Sandstorm campaign
TRN03007,threat_actor_or_malware,BreakerFox,Medium – known actor or malware name
TRN03008,ipv4,198.51.100.149,"Low – generic indicator, needs internal validation"
TRN03008,domain,node-3008-sync.example,"Low – generic indicator, needs internal validation"
TRN03008,threat_actor_or_malware,Copper Dune,Medium – known actor or malware name
TRN03008,threat_actor_or_malware,GridLock,Medium – known actor or malware name
TRN03010,ipv4,198.51.100.151,"Low – generic indicator, needs internal validation"
TRN03010,domain,node-3010-sync.example,"Low – generic indicator, needs internal validation"
TRN03010,threat_actor_or_malware,Red Kudu,Medium – known actor or malware name
TRN03013,ipv4,198.51.100.154,"Low – generic indicator, needs internal validation"
TRN03013,domain,node-3013-sync.example,"Low – generic indicator, needs internal validation"
TRN03013,threat_actor_or_malware,Red Kudu,Medium – known actor or malware name
TRN03013,threat_actor_or_malware,BreakerFox,Medium – known actor or malware name
TRN03017,ipv4,198.51.100.158,"Low – generic indicator, needs internal validation"
TRN03017,domain,node-3017-sync.example,"Low – generic indicator, needs internal validation"
TRN03017,threat_actor_or_malware,Kalahari Jackal,High – linked to current Kalahari Jackal / Sandstorm campaign
TRN03036,ipv4,198.51.100.177,"Low – generic indicator, needs internal validation"
TRN03036,domain,node-3036-sync.example,"Low – generic indicator, needs internal validation"
TRN03036,threat_actor_or_malware,Kalahari Jackal,High – linked to current Kalahari Jackal / Sandstorm campaign
TRN03037,ipv4,198.51.100.178,"Low – generic indicator, needs internal validation"
TRN03037,domain,node-3037-sync.example,"Low – generic indicator, needs internal validation"
TRN03037,threat_actor_or_malware,Copper Dune,Medium – known actor or malware name
TRN03037,threat_actor_or_malware,DustRAT,Medium – known actor or malware name
TRN03040,ipv4,198.51.100.181,"Low – generic indicator, needs internal validation"
TRN03040,domain,node-3040-sync.example,"Low – generic indicator, needs internal validation"
TRN03045,ipv4,198.51.100.186,"Low – generic indicator, needs internal validation"
TRN03045,domain,node-3045-sync.example,"Low – generic indicator, needs internal validation"
TRN03045,threat_actor_or_malware,Red Kudu,Medium – known actor or malware name
TRN03049,ipv4,198.51.100.190,"Low – generic indicator, needs internal validation"
TRN03049,domain,node-3049-sync.example,"Low – generic indicator, needs internal validation"
TRN03049,threat_actor_or_malware,Red Kudu,Medium – known actor or malware name
TRN03049,threat_actor_or_malware,GridLock,Medium – known actor or malware name
TRN03050,ipv4,198.51.100.191,"Low – generic indicator, needs internal validation"
TRN03050,domain,node-3050-sync.example,"Low – generic indicator, needs internal validation"
TRN03050,threat_actor_or_malware,Red Kudu,Medium – known actor or malware name
TRN03053,ipv4,198.51.100.194,"Low – generic indicator, needs internal validation"
TRN03053,domain,node-3053-sync.example,"Low – generic indicator, needs internal validation"
TRN03053,threat_actor_or_malware,Night Heron,Medium – known actor or malware name
TRN03056,ipv4,198.51.100.197,"Low – generic indicator, needs internal validation"
TRN03056,domain,node-3056-sync.example,"Low – generic indicator, needs internal validation"
TRN03056,threat_actor_or_malware,Copper Dune,Medium – known actor or malware name
TRN03059,ipv4,198.51.100.200,"Low – generic indicator, needs internal validation"
TRN03059,domain,node-3059-sync.example,"Low – generic indicator, needs internal validation"
TRN03059,threat_actor_or_malware,Kalahari Jackal,High – linked to current Kalahari Jackal / Sandstorm campaign
TRN03061,ipv4,198.51.100.202,"Low – generic indicator, needs internal validation"
TRN03061,domain,node-3061-sync.example,"Low – generic indicator, needs internal validation"
TRN03061,threat_actor_or_malware,Red Kudu,Medium – known actor or malware name
TRN03061,threat_actor_or_malware,Sandstorm Loader,High – linked to current Kalahari Jackal / Sandstorm campaign
